SITE_ID,YEAR,tsi_crust,tsi_rot,LAT_DD83,LON_DD83,ELEVATION,COLOR,NTL,PTL,CHLA,secchi,ts_group,ts
NLA17_AR-10021,2017,61.16467957857971,52.13578313605333,33.63998,-94.14226,88,40,1.834,246.03125,96.4,0.375,sdd_ts,hypereu
NLA17_AR-10021,2017,61.16467957857971,52.13578313605333,33.63998,-94.14226,88,40,1.834,246.03125,96.4,0.375,rot_ts,meso-eutro
NLA17_AR-10021,2017,61.16467957857971,52.13578313605333,33.63998,-94.14226,88,40,1.834,246.03125,96.4,0.375,crs_ts,eutro
NLA17_AR-10022,2017,63.30637204305564,53.677518256254395,33.3449,-92.52257,24,15,0.798,118.70125,54.93,0.62,ncp_ts,eutro
NLA17_AR-10022,2017,63.30637204305564,53.677518256254395,33.3449,-92.52257,24,15,0.798,118.70125,54.93,0.62,chla_ts,eutro
NLA17_AR-10022,2017,63.30637204305564,53.677518256254395,33.3449,-92.52257,24,15,0.798,118.70125,54.93,0.62,ptl_ts,hypereu
NLA17_AR-10022,2017,63.30637204305564,53.677518256254395,33.3449,-92.52257,24,15,0.798,118.70125,54.93,0.62,sdd_ts,eutro
NLA17_AR-10022,2017,63.30637204305564,53.677518256254395,33.3449,-92.52257,24,15,0.798,118.70125,54.93,0.62,rot_ts,meso-eutro
NLA17_AR-10022,2017,63.30637204305564,53.677518256254395,33.3449,-92.52257,24,15,0.798,118.70125,54.93,0.62,crs_ts,eutro
NLA17_AR-HP001,2017,42.416529858827,52.32416124205997,34.2145297,-94.2146709,153.64,0,0.276,21.03125,7.08,1.9649999999999999,ncp_ts,oligo
NLA17_AR-HP001,2017,42.416529858827,52.32416124205997,34.2145297,-94.2146709,153.64,0,0.276,21.03125,7.08,1.9649999999999999,chla_ts,meso
NLA17_AR-HP001,2017,42.416529858827,52.32416124205997,34.2145297,-94.2146709,153.64,0,0.276,21.03125,7.08,1.9649999999999999,ptl_ts,meso
